id,Overview
164,"Transformers: Dark of the Moon-To Fight Monsters, We Created Monsters"
165,Indiana Jones and the Kingdom of the Crystal Skull-The invasion we always feared. An enemy we never expected.
316,The Good Dinosaur-The adventure continues . . .
317,Brave-Little Arms With Big Attitude
318,Star Trek Beyond-Change your fate.
13,WALL·E-
14,Rush Hour 3-An adventure beyond the ordinar-E.
166,2012-The Rush Is On!
479,A Christmas Carol-We Were Warned.
167,Jupiter Ascending-Season's Greedings
409,The Legend of Tarzan-Expand your universe.
168,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe-Human. Nature."
59,X-Men: Apocalypse-Evil Has Reigned For 100 Years...
480,The Dark Knight-Only the strong will survive
328,Up-Why So Serious?
329,Monsters vs Aliens-
15,"Iron Man-When aliens attack, monsters fight back."
16,Hugo-Heroes aren't born. They're built.
484,Wild Wild West-One of the most legendary directors of our time takes you on an extraordinary adventure.
485,The Mummy: Tomb of the Dragon Emperor-It's a whole new west.
330,Suicide Squad-A New Evil Awakens.
169,Evan Almighty-Worst Heroes Ever
17,Edge of Tomorrow-A comedy of biblical proportions
170,"Waterworld-Live, Die, Repeat"
171,G.I. Joe: The Rise of Cobra-Beyond the horizon lies the secret to a new beginning.
18,"Inside Out-When all else fails, they don't."
19,The Jungle Book-Meet the little voices inside your head.
487,Iron Man 2-
488,"Snow White and the Huntsman-It's not the armor that makes the hero, but the man inside."
60,Maleficent-The Fairytale is Over
340,Dawn of the Planet of the Apes-Don't believe the fairy tale.
20,The Lovers-One last chance for peace.
341,47 Ronin-Love is longer than life.
172,Captain America: The Winter Soldier-For courage. For loyalty. For honor.
21,Shrek Forever After-In heroes we trust.
496,Tomorrowland-It ain't Ogre... Til it's Ogre
173,Big Hero 6-Imagine a world where nothing is impossible.
359,Wreck-It Ralph-From the creators of Wreck-it Ralph and Frozen
497,The Polar Express-The story of a regular guy just looking for a little wreck-ognition.
360,Independence Day: Resurgence-This holiday season... believe.
22,How to Train Your Dragon-We had twenty years to prepare. So did they.
174,Terminator 3: Rise of the Machines-One adventure will change two worlds
23,Guardians of the Galaxy-The Machines Will Rise.
175,Interstellar-All heroes start somewhere.
442,Inception-Mankind was born on Earth. It was never meant to die here.
61,Shin Godzilla-Your mind is the scene of the crime.
440,The Hobbit: An Unexpected Journey-A god incarnate. A city doomed.
441,The Fast and the Furious-From the smallest beginnings come the greatest legends.
443,The Curious Case of Benjamin Button-Live life 1/4 mile at a time.
413,"X-Men: First Class-Life isn't measured in minutes, but in moments."
24,The Hunger Games: Mockingjay - Part 2-Witness the moment that will change our world.
25,The Sorcerer's Apprentice-The fire will burn forever.
176,Poseidon-It's The Coolest Job Ever.
277,Alice Through the Looking Glass-Mayday
446,Shrek the Third-It's time for a little madness.
447,Warcraft-Who's ready for Thirds?
448,Terminator Genisys-Two worlds. One home.
26,The Chronicles of Narnia: The Voyage of the Dawn Treader-Reset the future
27,Pearl Harbor-Return to magic. Return to hope. Return to Narnia.
28,Transformers-It takes a moment to change history. It takes love to change lives.
452,Alexander-Their war. Our world.
453,Harry Potter and the Order of the Phoenix-The greatest legend of all was real.
454,Harry Potter and the Goblet of Fire-Evil Must Be Confronted.
29,Hancock-Dark And Difficult Times Lie Ahead.
278,I Am Legend-Bad Behavior. Bad Attitude. Real Hero.
30,Charlie and the Chocolate Factory-The last man on Earth is not alone
279,Ratatouille-Willy Wonka is semi-sweet and nuts.
456,Batman Begins-He's dying to become a chef.
31,Madagascar: Escape 2 Africa-Evil fears the knight.
32,Night at the Museum: Battle of the Smithsonian-Still together. Still lost!
462,X-Men Origins: Wolverine-When the lights go off the battle is on.
463,The Matrix Revolutions-Witness the Origin.
464,Frozen-Everything that has a beginning has an end.
177,The Matrix Reloaded-Only the act of true love will thaw a frozen heart.
33,Thor: The Dark World-Free your mind.
34,Mad Max: Fury Road-Delve into the darkness
178,Angels & Demons-What a Lovely Day.
472,Thor-
179,Bolt-Two worlds. One hero.
473,G-Force-Fully Awesome. Ridonculous. Let It Begin.
35,Wrath of the Titans-The world needs bigger heroes
282,Dark Shadows-Feel the Wrath
36,Mission: Impossible - Rogue Nation-Every Family Has Its Demons
283,The Wolfman-Desperate Times. Desperate Measures.
414,Bee Movie-When the moon is full the legend comes to life
37,Kung Fu Panda 2-Born to bee wild.
481,The Last Airbender-Prepare for the Year of Awesomeness!
482,"Mission: Impossible III-Four nations, one destiny"
483,White House Down-The Mission Begins 05:05:06.
284,Mars Needs Moms-It will start like any other day.
62,Flushed Away-Mom needs a little space.
180,Pan-Someone's Going Down
38,Mr. Peabody & Sherman-Every legend has a beginning.
39,Troy-He's Leaving His Mark On History
181,Madagascar 3: Europe's Most Wanted-For passion. For honor. For destiny. For victory. For love.
182,"Die Another Day-Six years ago, they disappeared without a trace. Next summer, they finally resurface."
285,Ghostbusters-He’s never been cooler.
40,Armageddon-Who You Gonna Call?
41,Men in Black II-The Earth's Darkest Day Will Be Man's Finest Hour
489,Beowulf-Same Planet. New Scum.
490,Kung Fu Panda 3-Evil breeds pain.
491,Mission: Impossible - Ghost Protocol-Grab destiny by the rice dumplings.
63,Rise of the Guardians-No Plan. No Backup. No Choice.
286,Fun with Dick and Jane-You better believe.
492,The Last Samurai-Giving big businesses a run for their money!
42,"Exodus: Gods and Kings-In the face of an enemy, in the heart of one man, lies the soul of a warrior."
421,"Star Trek-Once brothers, now enemies."
422,Spider-Man-The future begins.
423,How to Train Your Dragon 2-With great power comes great responsibility.
43,Gods of Egypt-The training is over.
44,Stealth-The battle for eternity begins
427,Watchmen-Fear The Sky
428,Lethal Weapon 4-Justice is coming to all of us.  No matter what we do.
429,Hulk-The faces you love. The action you expect.
45,G.I. Joe: Retaliation-Unleash the hero within
46,Sahara-
47,Final Fantasy: The Spirits Within-Dirk Pitt. Adventure has a new name.
432,Captain America: The First Avenger-Unleash a new reality
433,The World Is Not Enough-When patriots become heroes
434,Master and Commander: The Far Side of the World-As the countdown begins for the new millennium there is still one number you can always count on.
435,The Twilight Saga: Breaking Dawn - Part 2-The courage to do the impossible lies in the hearts of men.
287,Happy Feet Two-The epic finale that will live forever
48,The Incredible Hulk-Every step counts.
64,The BFG-You'll like him when he's angry.
183,The Revenant-The world is more giant than you can imagine.
49,"Turbo-(n. One who has returned, as if from the dead.)"
184,Rango-SLO NO MO
438,Penguins of Madagascar-Heroes come in all different colors.
439,The Bourne Ultimatum-The Movie Event That Will Blow Their Cover
50,Kung Fu Panda-Remember everything. Forgive nothing.
51,Ant-Man-Prepare for awesomeness.
444,The Hunger Games: Catching Fire-Heroes don't get any bigger.
445,Home-Every revolution begins with a spark.
52,War of the Worlds-Worlds Collide
53,Bad Boys II-They're already here.
455,"Puss in Boots-If you can't stand the heat, get out of Miami."
468,Salt-Live for danger. Fight for justice. Pray for mercy.
486,Noah-Who is Salt?
54,The Adventures of Tintin-The end of the world is just the beginning.
185,"Harry Potter and the Prisoner of Azkaban-This year, discover how far adventure will take you."
55,Australia-Something wicked this way comes.
403,After Earth-Welcome to Australia!
404,"Dinosaur-Danger is real, fear is a choice"
292,Night at the Museum: Secret of the Tomb-You have never seen anything like this.
293,Megamind-One Final Night to Save the Day.
405,Harry Potter and the Philosopher's Stone-His brain is off the chain.
56,R.I.P.D.-Let the Magic Begin.
294,Pirates of the Caribbean: The Curse of the Black Pearl-To protect and serve the living
186,The Hunger Games: Mockingjay - Part 1-Prepare to be blown out of the water.
57,The Da Vinci Code-Fire burns brighter in the darkness
187,Rio 2-Seek the truth.
188,"X2-He's villainous, she's venomous."
305,Fast Five-The time has come for those who are different to stand united.
306,Sherlock Holmes: A Game of Shadows-Get the Fifth Gear.
307,Clash of the Titans-The game is afoot.
189,Total Recall-Titans will clash.
190,"The 13th Warrior-They stole his mind, now he wants it back."
191,The Bourne Legacy-Prey for the living.
313,Batman & Robin-There Was Never Just One
314,How the Grinch Stole Christmas-Strength. Courage. Honor. And loyalty.
315,The Day After Tomorrow-He puts the mean in green.
451,Mission: Impossible II-Where will you be?
337,The Perfect Storm-Expect the impossible again.
75,Fantastic 4: Rise of the Silver Surfer-The storm is coming.
76,Life of Pi-Discover the secret of the Surfer.
77,Ghost Rider-Believe The Unbelievable
195,Jason Bourne-Hell Is About To Be Unleashed
196,Charlie's Angels: Full Throttle-You know his name
477,Prometheus-This summer the Angels are back.
478,Stuart Little 2-The Search for Our Beginning Could Lead to Our End.
78,Elysium-A Little Goes A Long Way
68,The Chronicles of Riddick-He can save us all.
69,RoboCop-All the power in the universe can't change destiny
70,Speed Racer-We've got the future under control.
436,How Do You Know-Go!
437,Knight and Day-How do you know it's love?
192,Oblivion-Every Hit Man Deserves a Second Shot!
193,Star Wars: Episode III - Revenge of the Sith-Earth is a memory worth fighting for
194,Star Wars: Episode II - Attack of the Clones-The saga is complete.
71,"Monsters, Inc.-A Jedi Shall Not Know Anger. Nor Hatred. Nor Love."
72,The Wolverine-We Scare Because We Care.
334,"Star Wars: Episode I - The Phantom Menace-When he's most vulnerable, he's most dangerous."
335,The Croods-Every generation has a legend. Every journey has a first step. Every saga has a beginning.
73,Asterix at the Olympic Games-Meet the first modern family.
65,Windtalkers-
336,The Huntsman: Winter's War-Honor Was Their Code.
74,Teenage Mutant Ninja Turtles-The story before Snow White
449,Gravity-Mysterious. Dangerous. Reptilious. You've never seen heroes like this.
450,Dante's Peak-Don't Let Go
79,Teenage Mutant Ninja Turtles: Out of the Shadows-The pressure is building...
80,Fantastic Four-Raise some shell.
383,Night at the Museum-Change is coming.
379,San Andreas-Where History Comes To Life
384,"Tomorrow Never Dies-A rescue pilot survived an earthquake, this is what happens next"
385,The Patriot-Yesterday is a memory. Today is history. Tomorrow is in the hands of one man.
81,Ocean's Twelve-Some things are worth fighting for.
82,Mr. & Mrs. Smith-Twelve is the new eleven.
380,Insurgent-Smart and sexy.
388,The Aviator-One Choice Can Destroy You
389,"Gulliver's Travels-For some men, the sky was the limit. For him, it was just the beginning."
83,The Green Hornet-Something big is going down.
84,300: Rise of an Empire-Breaking the Law to Protect It.
393,The Smurfs-Seize your glory!
394,Home on the Range-Smurf Happens.
85,Allegiant-Bust a Moo
197,Real Steel-Break the boundaries of your world
86,"The Smurfs 2-If you get one shot, make it real."
198,Speed 2: Cruise Control-Get ready to get naughty!
199,"Ender's Game-As the stakes get higher, the ride gets even faster."
398,Live Free or Die Hard-This is not a game.
399,The Lord of the Rings: The Fellowship of the Ring-The old school cop is back!
259,Around the World in 80 Days-One ring to rule them all
87,Ali-Let your imagination soar.
260,The Cat in the Hat-Float like a butterfly and sting like a bee.
200,"I, Robot-Don't mess with the hat."
201,Kingdom of Heaven-Laws are made to be broken.
265,"Stuart Little-Be without fear in the face of your enemies. Safeguard the helpless, and do no wrong"
88,The Princess and the Frog-The Little Family Just Got Bigger
406,The Martian-Every Love Story Begins With a Kiss...
266,The Island-Bring Him Home
202,Town & Country-Your time will come...
407,Gone in Sixty Seconds-There's no such thing as a small affair.
203,"Gladiator-Ice Cold, Hot Wired."
89,Minority Report-A Hero Will Rise.
269,Harry Potter and the Chamber of Secrets-The system is perfect until it comes after you.
90,Casino Royale-Hogwarts is back in session.
270,Planet of the Apes-Everyone has a past. Every legend has a beginning.
417,Terminator 2: Judgment Day-You'll be sorry you were ever born human
204,Public Enemies-It's nothing personal.
416,American Gangster-America's Most Wanted.
415,True Lies-There are two sides to the American dream
91,"The Taking of Pelham 1 2 3-When he said I do, he never said what he did."
92,Little Fockers-I can't get it out of my head. I'm gonna die today.
93,"The Other Guys-Kids bring everyone closer, right?"
430,Eraser-When the cops are busy... Our only hope is...
431,Django Unchained-He will erase your past to protect your future.
94,"The Hunchback of Notre Dame-Life, liberty and the pursuit of vengeance."
205,The Emperor's New Groove-
206,The Expendables 2-It's All About.....ME!
271,National Treasure-Back for War.
272,Eragon-The greatest adventure history has ever revealed.
273,"Where the Wild Things Are-As darkness falls, the last dragon will choose its rider."
95,Epic-There's one in all of us.
207,The Tourist-Discover a world beyond your imagination
208,End of Days-It all started when he met a woman
457,Blood Diamond-Prepare for the end.
458,The Wolf of Wall Street-It will cost you everything.
280,Batman Forever-EARN. SPEND. PARTY.
96,"Starship Troopers-Courage now, truth always..."
281,Cloud Atlas-The only good bug is a dead bug.
97,Legend of the Guardians: The Owls of Ga'Hoole-Everything is Connected
209,Catwoman-On his way to finding a legend...he will become one.
364,Hercules-CATch her in IMAX
210,"Treasure Planet-Before he was a legend, he was a man."
288,Land of the Lost-Find your place in the universe.
99,The Expendables 3-Right place. Wrong time.
365,Point Break-New team. New attitude. New mission.
366,Son of the Mask-The only law that matters is gravity
98,In the Heart of the Sea-Who's next?
289,The Adventures of Pluto Nash-Based on the incredible true story that inspired Moby Dick
368,Green Zone-Action's future has arrived...
100,The Peanuts Movie-Chief Warrant Officer Roy Miller is done following orders
101,The Spanish Prisoner-The story of an underdog. And his dog.
372,The Mummy Returns-It's the oldest con in the book.
373,Gangs of New York-The most powerful force on earth is about to be unleashed by the two people who should know better.
290,The Flowers of War-America was born in the streets.
374,Surf's Up-
375,"The Stepford Wives-In the coldest place on Earth, he's the hottest thing around."
102,Black Hawk Down-The wives of Stepford have a secret.
103,The Campaign-Leave No Man Behind.
104,The Fifth Element-May The Best Loser Win.
376,Sex and the City 2-There is no future without it.
291,The Road to El Dorado-Carrie on.
8,Ice Age: Continental Drift-They came for the gold... they stayed for the adventure.
240,"Cinderella-Manny, Diego, and Sid embark upon another adventure after their continent is set adrift."
241,The Lovely Bones-Midnight is just the beginning.
242,Finding Nemo-The story of a life and everything that came after...
243,"The Lord of the Rings: The Return of the King-There are 3.7 trillion fish in the ocean, they're looking for one."
244,The Lord of the Rings: The Two Towers-The eye of the enemy is moving.
261,Seventh Son-A New Power Is Rising.
262,"Lara Croft: Tomb Raider-When darkness falls, the son will rise. When the son falls, the dark knight will rise."
377,Transcendence-Born into Wealth. Groomed by the Elite. Trained for Combat.
263,"Jurassic Park III-Yesterday, Dr. Will Caster was only human..."
378,"Rise of the Planet of the Apes-This time, it's not just a walk in the park!"
105,The Spiderwick Chronicles-Evolution Becomes Revolution.
106,A Good Day to Die Hard-Their World Is Closer Than You Think.
264,The Alamo-Yippee Ki-Yay Mother Russia
211,The Incredibles-You will never forget
381,"Cutthroat Island-No gut, no glory"
212,Percy Jackson & the Olympians: The Lightning Thief-The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!
382,Men in Black-Worlds Collide
107,Toy Story 2-Protecting the Earth from the scum of the universe.
351,Unstoppable-The toys are back!
352,"Rush Hour 2-1,000,000 Tons. 100,000 Lives. 100 Minutes."
418,What Lies Beneath-Get ready for a second Rush!
108,Cloudy with a Chance of Meatballs-He was the perfect husband until his one mistake followed them home.
109,Ice Age: Dawn of the Dinosaurs-Prepare to get served.
390,The Secret Life of Walter Mitty-You Won't Believe Your Ice!
391,"Charlie's Angels-Stop Dreaming, Start Living"
392,The Departed-Get Some Action
110,Mulan-Lies. Betrayal. Sacrifice. How far will you take it?
111,"Tropic Thunder-This time, the princess saves the prince."
112,The Girl with the Dragon Tattoo-The movie they think they're making... isn't a movie anymore.
400,Die Hard: With a Vengeance-Evil shall with evil be expelled.
401,Sherlock Holmes-Think fast. Look alive. Die hard.
402,Ben-Hur-Nothing escapes him.
113,Atlantis: The Lost Empire-First to finish. Last to die.
420,Alvin and the Chipmunks: The Road Chip-Atlantis is waiting...
114,Valkyrie-Fast & furry-ous
342,You Don't Mess with the Zohan-Many saw evil. They dared to stop it.
343,Pixels-Lather. Rinse. Save the world.
213,A.I. Artificial Intelligence-Game On.
115,"The Haunted Mansion-David is 11 years old. He weighs 60 pounds. He is 4 feet, 6 inches tall. He has brown hair. His love is real. But he is not."
214,Contact-Check your pulse at the door... if you have one.
116,"Hollow Man-If it's just us, it seems like an awful waste of space."
117,The Interpreter-What would you do if you knew you couldn't be seen?
245,Percy Jackson: Sea of Monsters-The truth needs no translation.
348,"Lara Croft Tomb Raider: The Cradle of Life-Where There Are Gods, There Are Monsters."
356,Now You See Me 2-Adventuress Lara Croft goes on a quest to save the mythical Pandora's Box
225,The Saint-You Haven't Seen Anything Yet
357,Spy Game-Never reveal your name. Never turn your back. Never surrender your heart.
358,Mission to Mars-It's not how you play the game. It's how the game plays you.
125,Rio-Let There Be Life.
126,Bicentennial Man-1 out of every 8 Americans is afraid of flying. Most of them don't have feathers.
127,Volcano-One robot's 200 year journey to become an ordinary man.
361,The Devil's Own-The coast is toast
226,"K-19: The Widowmaker-They come from different worlds. They fight for different causes. Now, two men from opposite sides of the law are about to go to war."
227,Conan the Barbarian-Fate has found its hero.
362,Cinderella Man-Thief. Warrior. Gladiator. King.
363,The Nutcracker: The Untold Story-One man's extraordinary fight to save the family he loved.
128,Seabiscuit-
246,Twister-The hopes of a nation rode on a long shot.
215,Cast Away-The Dark Side of Nature.
247,"Happy Feet-At the edge of the world, his journey begins."
349,The Bourne Supremacy-WARNING: May Cause Toe-Tapping.
350,Air Force One-They should have left him alone.
118,Ocean's Eleven-The fate of a nation rests on the courage of one man.
119,The Three Musketeers-Are you in or out?
120,Hotel Transylvania-Every legend has a new beginning.
216,Enchanted-Where monsters go to get away from it all
353,Safe House-This fairytale princess is about to meet a real Prince Charming
217,102 Dalmatians-No one is safe
248,Tower Heist-Meet Two Unlikely Heroes With A Bone To Pick.
249,The Holiday-Ordinary guys. An extraordinary robbery.
250,Enemy of the State-It's Christmas Eve and we are going to go celebrate being young and being alive.
251,It's Complicated-It's not paranoia if they're really after you.
354,Ocean's Thirteen-First comes marriage. Then comes divorce. And then...
218,Open Season-What are the odds of getting even? 13 to one.
121,Divergent-One Fur All & All Fur One
257,Enemy at the Gates-What makes you different makes you dangerous.
219,The Rundown-Some Men Are Born To Be Heroes.
220,Last Action Hero-cut to the chase
221,Memoirs of a Geisha-This isn't the movies anymore.
222,"The Fast and the Furious: Tokyo Drift-My world is as forbidden as it is fragile; without its mysteries, it cannot survive."
252,"Arthur Christmas-On the streets of Tokyo, speed needs no translation..."
253,Meet Joe Black-Ever wonder how 2 Billion presents get delivered all in 1 night?
254,Collateral Damage-Sooner or later everyone does.
255,All That Jazz-What would you do if you lost everything?
223,Mirror Mirror-All that work. All that glitter. All that pain. All that love. All that crazy rhythm. All that jazz.
224,Scott Pilgrim vs. the World-The Snow White legend comes alive.
256,The Core-Get the hot girl. Defeat her evil exes. Hit love where it hurts.
122,Nutty Professor II: The Klumps-Earth has a deadline.
123,Scooby-Doo-The Klumps are back!
258,Dredd-Get a Clue
124,Click-Judgement is coming
129,Creepshow-What If You Had A Remote... That Controlled Your Universe?
369,Cats & Dogs 2 : The Revenge of Kitty Galore-The Most Fun You'll Ever Have... BEING SCARED!
370,Jumper-Just like real spies... only furrier.
371,Hellboy II: The Golden Army-anywhere is possible.
267,Zodiac-Saving the world is a hell of a job.
386,The 6th Day-There's more than one way to lose your life to a killer.
130,Bruce Almighty-Are You Who You Think You Are
131,The Expendables-In Bruce we trust
268,Mission: Impossible-Choose Your Weapon.
387,The Hunger Games-Expect the Impossible.
132,The Hangover Part II-May The Odds Be Ever In Your Favor.
133,Batman Returns-The Wolfpack Is Back
134,"Over the Hedge-The Bat, the Cat, the Penguin."
410,Lilo & Stitch-Taking back the neighborhood... One snack at a time.
411,Charlotte's Web-He's coming to our galaxy.
228,"Deep Impact-Something unexpected, unbelievable, unforgettable."
419,RED 2-Heaven and Earth are about to collide.
412,The Longest Yard-The best never rest.
229,"Alvin and the Chipmunks: Chipwrecked-If you can't get out, get even."
135,Grown Ups 2-This holiday it's gonna get squeaky.
136,Get Smart-Just because they're a little older doesn't mean they've grown up.
319,Something's Gotta Give-Saving The World...And Loving It!
66,Shutter Island-Schmucks are people too.
320,Four Christmases-Someone is missing.
321,"Robots-His father, her mother, his mother and her father all in one day."
230,Face/Off-You can shine no matter what you're made of.
322,"Bedtime Stories-In order to catch him, he must become him."
137,Road to Perdition-Whatever they dream up... he has to survive.
138,Just Go with It-Pray for Michael Sullivan.
139,Con Air-Sometimes a guy's best wingman... is a wingwoman
140,Eagle Eye-They were deadly on the ground; Now they have wings
326,Cold Mountain-Don't walk. Run.
274,The Book of Eli-Find the strength. Find the courage. No matter what it takes... find the way home.
327,Flubber-Some will kill to have it. He will kill to protect it.
67,The Haunting-Catch it if you can!
141,Space Jam-Some houses are born bad.
275,The Pink Panther-Get ready to jam.
424,The Day the Earth Stood Still-Pardon His French.
276,Conspiracy Theory-12.12.08 is the Day the Earth Stood Still
231,Fury-What if your most paranoid nightmares had just come true?
142,Six Days Seven Nights-War never ends quietly.
232,"Yogi Bear-After this week in paradise, they’re going to need a vacation."
143,Spirit: Stallion of the Cimarron-Life's a Pic-A-Nic
331,Zookeeper-Leader. Hero. Legend.
332,Lost in Space-Welcome to his jungle.
425,"The Manchurian Candidate-Danger, Will Robinson!"
333,Déjà Vu-This summer everything is under control.
144,Hotel Transylvania 2-Your future is set...
145,Fantasia 2000-They're back to raise a little terror
426,The Time Machine-
146,Mighty Joe Young-The greatest adventure THROUGH all time!
338,Swordfish-Survival is an instinct.
339,The Legend of Zorro-Log On. Hack In. Go Anywhere. Get Everything.
147,What Dreams May Come-The original caped crusader is back!
148,Little Nicky-After life there is more. The end is just the beginning.
233,The Brothers Grimm-He's Never Been To Earth. He's Never Even Slept Over Some Other Dude's House.
295,Mars Attacks!-Eliminating Evil Since 1812.
149,Evolution-Nice planet. We'll take it!
344,The Edge-
296,"Surrogates-They were fighting over a woman when the plane went down. Now, their only chance for survival is each other."
297,Thirteen Days-How do you save humanity when the only thing that's real is you?
345,Daylight-You'll never believe how close we came
298,Walking With Dinosaurs-No air. No escape. No time.
346,Battlefield Earth-The Greatest Adventure in 70 Million Years
347,Looney Tunes: Back in Action-Take Back The Planet
234,Nine-Real life has never been so animated.
235,"Timeline-This Holiday Season, Be Italian"
236,The Postman-They had to travel into the past to save the future
323,Babe: Pig in the City-The year is 2013. One man walked in off the horizon and hope came with him.
324,The Last Witch Hunter-This little pig went to the city...
150,Red Planet-Hunt forever.
355,Arthur and the Invisibles-Not A Sound. Not A Warning. Not A Chance. Not Alone.
153,Oceans-Adventure awaits in your own backyard.
367,A Sound of Thunder-Explore the depths of our planet's oceans.  Experience the stories that connect their world to ours.
154,Pompeii-Some Rules Should Never Be Broken.
325,Top Cat Begins-No warning. No escape.
395,A Beautiful Mind-
237,The Lion King-I need to believe that something extra ordinary is possible...
396,Journey 2: The Mysterious Island-Life's greatest adventure is finding your place in the Circle of Life.
397,Cloudy with a Chance of Meatballs 2-Believe the Impossible. Discover the Incredible.
151,Red Dragon-Something big was leftover.
152,Hidalgo-Before the Silence.
238,Jack and Jill-Unbridled. Unbroken. Unbeaten.
239,2 Fast 2 Furious-His twin sister is coming for the holidays... ...and it ain't pretty.
,The Little Prince-How Fast Do You Want It?
,The Invasion-Growing up isn't the problem... forgetting is.
,The Adventures of Rocky & Bullwinkle-Do not trust anyone. Do not show emotion. Do not fall asleep.
,The Secret Life of Pets-This summer it's not the same old bull.
,The League of Extraordinary Gentlemen-Think this is what they do all day?
,Despicable Me 2-The power of seven become a league of one.
,Independence Day-Back 2 Work
,The Lost World: Jurassic Park-Earth. Take a good look. It might be your last.
,Madagascar-Something has survived.
,Children of Men-Someone's got a zoo loose.
,X-Men-The future's a thing of the past.
,Wanted-Evolution Begins
,The Rock-Choose your destiny.
,Ice Age: The Meltdown-Alcatraz.  Only one man has ever broken out.  Now five million lives depend on two men breaking in.
,50 First Dates-The Ice age is melting away.
,Hairspray-Imagine having to win over the girl of your dreams... every friggin' day.
,"Exorcist: The Beginning-When you follow your own beat, the world will follow you."
,Inspector Gadget-Go back to where the horror began.
,Now You See Me-The greatest hero ever assembled.
,Grown Ups-4 amazing magicians. 3 impossible heists. 1 billion dollars. This is no illusion.
,The Terminal-Boys will be boys. . . some longer than others.
,Hotel for Dogs-Life is waiting.
,Vertical Limit-No stray gets turned away.
,Charlie Wilson's War-The Mountain Will Decide.
,Shark Tale-Based on a true story. You think we could make all this up?
,Dreamgirls-The story of what happens when one little fish tells a great white lie...
,Be Cool-One Dream Will Change Everything
,Munich-Everyone is looking for the next big hit
,Tears of the Sun-The world was watching in 1972 as 11 Israeli athletes were murdered at the Munich Olympics. This is the story of what happened next.
,Killers-He was trained to follow orders. He became a hero by defying them.
,The Man from U.N.C.L.E.-Perfect wife. Perfect target.
,Spanglish-Saving the world never goes out of style.
,Monster House-Every family has a hero.
,Bandits-The House is . . . ALIVE!
,"First Knight-Two's company, three's a crime."
,Anna and the King-Their greatest battle would be for her love.
,Immortals-
,Hostage-The Gods need a hero.
,Titan A.E.-Every Second Counts
,"Hollywood Homicide-When Earth Ends, The Adventure Begins."
,Soldier-
,"Carriers-Left for dead on a remote planet for obsolete machines and people, a fallen hero has one last battle to fight"
,"Monkeybone-The rules are simple. You break them, you die..."
,"Flight of the Phoenix-If It Yells, If It Swings, It's Got To Be Monkeybone!"
,"Unbreakable-Out of the ashes, hope will rise."
,Minions-Some things are only revealed by accident.
,"Sucker Punch-Before Gru, they had a history of bad bosses"
,Snake Eyes-You will be unprepared
,Sphere-Believe everything except your eyes.
,"The Angry Birds Movie-A thousand feet beneath the sea, the blackest holes are in the mind..."
,Fool's Gold-Why so angry?
,Funny People-This February True Love Takes a Dive.
